"header","class","mechanism","group","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"Bla|AMPH_Ecoli|AP012030|395554-396711|1158|betalactams|Penicillin_binding_protein|AMPH","betalactams","Penicillin binding protein","AMPH",0,0,0,0,0,238.866396761134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
"Bla|A_1_DQ424965|betalactams|Class_A_betalactamases|BLAA","betalactams","Class A betalactamases","BLAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.176470588236,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|A_2_AY954728|betalactams|Class_A_betalactamases|BLAA","betalactams","Class A betalactamases","BLAA",0,0,319.444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964.705882352943,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|AmpC2|Ecoli|CP002970|332756-333889|1134|betalactams|Class_C_betalactamases|BLAEC","betalactams","Class C betalactamases","BLAEC",0,0,0,0,0,303.643724696356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.469135802469,0,0,0,0,0
"Bla|PBP|Ecoli|CP002291|664439-666340|1902|betalactams|Penicillin_binding_protein|PBP2","betalactams","Penicillin binding protein","PBP2",0,0,0,0,0,526.315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.814814814815,0,0,0,0,0
"CARD|phgb|AB091338|173-1355|ARO:3003551|emeA|Multi-drug_resistance|Multi-drug_efflux_pumps|EMEA","Multi-drug resistance","Multi-drug efflux pumps","EMEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.037037037037,0,0,0,0,0
"CARD|phgb|AM399080|1664-2150|ARO:3002835|lnuA|MLS|Lincosamide_nucleotidyltransferases|LNUA","MLS","Lincosamide nucleotidyltransferases","LNUA",0,11179.4871794872,7722.22222222223,0,0,0,0,0,0,0,125,0,0,0,0,280.000000000001,0,0,0,8070.58823529413,0,0,0,0,0,7051.02040816327,0,0,375.000000000001,0,0,0
"CARD|phgb|AP009048|2810082-2811255|ARO:3000027|emrA|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRA","Multi-drug resistance","Multi-drug efflux pumps","EMRA",0,0,0,0,0,206.477732793522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.728395061728,0,0,0,0,0
"CARD|phgb|AP009048|3980025-3981183|ARO:3000795|mdtE|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTE","Multi-drug resistance","Multi-drug efflux pumps","MDTE",0,0,0,0,0,137.651821862348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.938271604938,0,0,0,0,0
"CARD|phgb|AP009048|4153663-4154296|ARO:3000518|CRP|Multi-drug_resistance|MDR_regulator|CRP","Multi-drug resistance","MDR regulator","CRP",0,0,0,0,157.894736842105,97.165991902834,0,0,147.727272727273,0,0,0,0,0,0,0,0,387.09677419355,0,0,0,0,0,0,0,0,114.197530864198,0,0,171.641791044776,0,0
"CARD|phgb|AP009048|4306556-4307588|ARO:3003548|mdtN|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTN","Multi-drug resistance","Multi-drug efflux pumps","MDTN",0,0,0,0,0,145.748987854251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.432098765432,0,0,0,0,0
"CARD|phgb|CP000034|2662758-2663289|ARO:3000516|emrR|Multi-drug_resistance|MDR_regulator|EMRR","Multi-drug resistance","MDR regulator","EMRR",0,0,0,0,0,101.214574898785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3333333333333,0,0,0,0,0
"CARD|phgb|D78168|1591-3130|ARO:3000254|emrY|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRY","Multi-drug resistance","Multi-drug efflux pumps","EMRY",0,0,0,0,0,117.408906882591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.061728395062,0,0,0,0,0
"CARD|phgb|D78168|536-1592|ARO:3000206|emrK|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRK","Multi-drug resistance","Multi-drug efflux pumps","EMRK",0,0,0,0,0,133.603238866397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.666666666667,0,0,0,0,0
"CARD|phgb|EF504260|1994-3155|ARO:3001818|ACC-4|betalactams|Class_C_betalactamases|ACC","betalactams","Class C betalactamases","ACC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.428571428572,0,119.402985074627,0,0
"CARD|phgb|FJ768952|0-1488|ARO:3000237|tolC|Multi-drug_resistance|Multi-drug_efflux_pumps|TOLC","Multi-drug resistance","Multi-drug efflux pumps","TOLC",0,0,0,0,0,230.769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.012345679012,0,0,0,0,0
"CARD|phgb|NC_002156|1429-2290|ARO:3000979|TEM-116|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2244897959184,0,0,0,0,0,0
"CARD|phgb|NC_002695|1737553-1737967|ARO:3000676|H-NS|Multi-drug_resistance|MDR_regulator|HNS","Multi-drug resistance","MDR regulator","HNS",0,0,0,0,0,72.8744939271255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.2469135802469,0,0,0,0,0
"CARD|phgb|NC_002695|3211891-3212506|ARO:3000832|evgA|Multi-drug_resistance|MDR_regulator|EVGA","Multi-drug resistance","MDR regulator","EVGA",0,0,0,0,0,105.263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9876543209877,0,0,0,0,0
"CARD|phgb|NC_002695|4904931-4905630|ARO:3000831|cpxR|Multi-drug_resistance|MDR_regulator|CPXA","Multi-drug resistance","MDR regulator","CPXA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5555555555556,0,0,0,0,0
"CARD|phgb|NC_007779|1115840-1117067|ARO:3001329|mdtG|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTG","Multi-drug resistance","Multi-drug efflux pumps","MDTG",0,0,0,0,0,80.9716599190284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.135802469136,0,0,0,0,0
"CARD|phgb|NC_007779|1621287-1621671|ARO:3000263|marA|Multi-drug_resistance|MDR_regulator|MARA","Multi-drug resistance","MDR regulator","MARA",0,0,0,0,0,76.9230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7283950617284,0,0,0,0,0
"CARD|phgb|NC_007779|1745170-1746544|ARO:3001327|mdtK|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTK","Multi-drug resistance","Multi-drug efflux pumps","MDTK",0,0,0,0,0,161.943319838057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.913580246914,0,0,0,0,0
"CARD|phgb|NC_007779|2166412-2167135|ARO:3000828|baeR|Multi-drug_resistance|MDR_regulator|BAER","Multi-drug resistance","MDR regulator","BAER",0,0,0,0,0,125.506072874494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.716049382716,0,0,0,0,0
"CARD|phgb|NC_007779|2586250-2589364|ARO:3000491|acrD|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRD","Aminoglycosides","Aminoglycoside efflux pumps","ACRD",0,0,0,0,0,340.080971659919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.777777777778,0,0,0,0,0
"CARD|phgb|NC_007779|3974604-3975429|ARO:3000508|gadX|Multi-drug_resistance|MDR_regulator|GADX","Multi-drug resistance","MDR regulator","GADX",0,0,0,0,0,52.6315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.641975308642,0,0,0,0,0
"CARD|phgb|U00096|1124117-1125326|ARO:3001216|mdtH|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTH","Multi-drug resistance","Multi-drug efflux pumps","MDTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.888888888889,0,0,0,0,0
"CARD|phgb|U00096|1188315-1189776|ARO:3000835|phoQ|Multi-drug_resistance|MDR_regulator|PHOQ","Multi-drug resistance","MDR regulator","PHOQ",0,0,0,0,0,441.295546558705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.283950617284,0,0,0,0,0
"CARD|phgb|U00096|2154015-2155263|ARO:3000792|mdtA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTA","Multi-drug resistance","Multi-drug efflux pumps","MDTA",0,0,0,0,0,141.7004048583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.283950617284,0,0,0,0,0
"CARD|phgb|U00096|2155262-2158385|ARO:3000793|mdtB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTB","Multi-drug resistance","Multi-drug efflux pumps","MDTB",0,0,0,0,0,344.129554655871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.654320987654,0,0,0,0,0
"CARD|phgb|U00096|2158385-2161463|ARO:3000794|mdtC|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC","Multi-drug resistance","Multi-drug efflux pumps","MDTC",0,0,0,0,0,230.769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.197530864198,0,0,0,0,0
"CARD|phgb|U00096|2368038-2370021|ARO:3002985|arnA|Cationic_antimicrobial_peptides|Lipid_A_modification|ARNA","Cationic antimicrobial peptides","Lipid A modification","ARNA",0,0,0,0,0,425.101214574899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0
"CARD|phgb|U00096|2484373-2487967|ARO:3000833|evgS|Multi-drug_resistance|MDR_regulator|EVGS","Multi-drug resistance","MDR regulator","EVGS",0,0,0,0,0,380.566801619433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.777777777778,0,0,0,0,0
"CARD|phgb|U00096|2812615-2814154|ARO:3000074|emrB|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRB","Multi-drug resistance","Multi-drug efflux pumps","EMRB",0,0,0,0,0,182.186234817814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.061728395062,0,0,0,0,0
"CARD|phgb|U00096|3203309-3204131|ARO:3002986|bacA|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA","Bacitracin","Undecaprenyl pyrophosphate phosphatase","BACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3827160493827,0,0,0,0,0
"CARD|phgb|U00096|3412802-3413465|ARO:3000656|acrS|Aminoglycosides|Aminoglycoside_efflux_regulator|ACRS","Aminoglycosides","Aminoglycoside efflux regulator","ACRS",0,0,0,0,0,85.0202429149798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5061728395062,0,0,0,0,0
"CARD|phgb|U00096|3413863-3415021|ARO:3000499|acrE|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRE","Aminoglycosides","Aminoglycoside efflux pumps","ACRE",0,0,0,0,0,190.283400809717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.432098765432,0,0,0,0,0
"CARD|phgb|U00096|3415032-3418137|ARO:3000502|acrF|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRF","Aminoglycosides","Aminoglycoside efflux pumps","ACRF",0,0,0,0,0,429.14979757085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.604938271605,0,0,0,0,0
"CARD|phgb|U00096|3660413-3663527|ARO:3000796|mdtF|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC","Multi-drug resistance","Multi-drug efflux pumps","MDTC",0,0,0,0,0,485.82995951417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.950617283951,0,0,0,0,0
"CARD|phgb|U00096|4567286-4568519|ARO:3001214|mdtM|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC","Multi-drug resistance","Multi-drug efflux pumps","MDTC",0,0,0,0,0,101.214574898785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.617283950617,0,0,0,0,0
"CARD|phgb|U46859|22365-24057|ARO:3003049|rosB|Cationic_antimicrobial_peptides|Cationic_antimicrobial_peptide_efflux_pumps|rosB","Cationic antimicrobial peptides","Cationic antimicrobial peptide efflux pumps","rosB",0,0,486.111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.94117647059,0,0,0,0,0,0,0,0,0,0,0,0
"CARD|phgb|U46859|24294-25527|ARO:3003048|rosA|Cationic_antimicrobial_peptides|Cationic_antimicrobial_peptide_efflux_pumps|rosA","Cationic antimicrobial peptides","Cationic antimicrobial peptide efflux pumps","rosA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.764705882353,0,0,0,0,0,0,0,0,0,0,0,0
"MLS|AM399080.1|gene2|MLS|Lincosamide_nucleotidyltransferases|LNUA","MLS","Lincosamide nucleotidyltransferases","LNUA",0,8410.25641025644,5611.11111111112,0,0,0,0,0,0,0,140.625,138.888888888889,0,0,0,0,0,0,0,6388.23529411766,0,0,0,0,0,5897.95918367348,0,0,340.909090909091,0,0,0
"MLS|LnuA|M14039|413-898|486|MLS|Lincosamide_nucleotidyltransferases|LNUA","MLS","Lincosamide nucleotidyltransferases","LNUA",0,0,263.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.352941176471,0,0,0,0,0,551.020408163266,0,0,0,0,0,0
"Mdr|AP009048.1|gene2135|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTD","Multi-drug resistance","Multi-drug efflux pumps","MDTD",0,0,0,0,0,279.352226720648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.814814814815,0,0,0,0,0
"Mdr|AP009048.1|gene3415|Multi-drug_resistance|MDR_regulator|CPXAR","Multi-drug resistance","MDR regulator","CPXAR",0,0,0,0,0,425.101214574899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.185185185185,0,0,0,0,0
"Mdr|AP009048.1|gene3616|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTL","Multi-drug resistance","Multi-drug efflux pumps","MDTL",0,0,0,0,0,234.817813765182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.703703703704,0,0,0,0,0
"Mdr|CP000034.1|gene2198|Multi-drug_resistance|MDR_regulator|ASMA","Multi-drug resistance","MDR regulator","ASMA",0,0,0,0,0,368.421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.407407407407,0,0,0,0,0
"Mdr|CP000034.1|gene3834|Multi-drug_resistance|MDR_regulator|CPXAR","Multi-drug resistance","MDR regulator","CPXAR",0,0,0,0,0,64.7773279352227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.938271604938,0,0,0,0,0
"Mdr|U46859.1|gene22|Fosmidomycin|Multi-drug_resistance|Multi-drug_efflux_pumps|ROSB","Multi-drug resistance","Multi-drug efflux pumps","ROSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.764705882354,0,0,0,0,0,0,0,0,0,0,0,0
"Mdr|U46859.1|gene23|Multi-drug_resistance|Multi-drug_efflux_pumps|ROSA","Multi-drug resistance","Multi-drug efflux pumps","ROSA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.823529411765,0,0,0,0,0,0,0,0,0,0,0,0
"RGI|gb|AF170730|+|69-735|ARO:3003744","MLS","Streptogramin A O-acetyltransferase","VATF",0,0,208.333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.941176470589,0,0,0,0,0,0,0,0,0,0,0,0
"RGI|gb|AP009048.1|-|3980025-3981183|ARO:3000795","Multi-drug resistance","Multi-drug efflux pumps","MDTE",0,0,0,0,0,259.109311740891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.197530864198,0,0,0,0,0
"RGI|gb|AP009048.1|-|4153663-4154296|ARO:3000518","Multi-drug resistance","MDR regulator","CRP",0,0,0,0,0,72.8744939271255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5925925925926,0,0,0,0,0
"RGI|gb|AP009048|+|2810082-2811255|ARO:3000027","Multi-drug resistance","Multi-drug efflux pumps","EMRA",0,0,0,0,0,198.380566801619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.296296296296,0,0,0,0,0
"RGI|gb|CP000800.1|-|1191727-1192954|ARO:3001329","Multi-drug resistance","Multi-drug efflux pumps","MDTG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.975308641975,0,0,0,0,0
"RGI|gb|CP015085.1|-|2551711-2552440|ARO:3003838","Multi-drug resistance","MDR regulator","GADW",0,0,0,0,0,48.582995951417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5061728395062,0,0,0,0,0
"RGI|gb|D78168|+|1591-3130|ARO:3000254","Multi-drug resistance","Multi-drug efflux pumps","EMRY",0,0,0,0,0,101.214574898785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.617283950617,0,0,0,0,0
"RGI|gb|D78168|+|536-1592|ARO:3000206","Multi-drug resistance","Multi-drug efflux pumps","EMRK",0,0,0,0,0,117.408906882591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.493827160494,0,0,0,0,0
"RGI|gb|DQ149925.1|+|188-521|ARO:3003836","Multi-drug resistance","Multi-drug efflux pumps","QACH",1262.29508196722,0,0,0,6671.05263157896,0,0,0,465.909090909092,0,468.750000000001,500.000000000002,0,47.6190476190478,0,0,0,5193.54838709679,0,0,0,254.545454545455,0,0,40.5405405405406,0,0,0,0,850.746268656717,0,0
"RGI|gb|NC_000913.3|+|2810769-2811300|ARO:3000516","Multi-drug resistance","MDR regulator","EMRR",0,0,0,0,0,153.846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.320987654321,0,0,0,0,0
"RGI|gb|NC_000913.3|-|481253-484403|ARO:3000216","Multi-drug resistance","Multi-drug efflux pumps","ACRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.37037037037,0,0,0,0,0
"RGI|gb|NC_000913.3|-|484425-485619|ARO:3004043","Multi-drug resistance","MDR regulator","ACRA",0,0,0,0,0,165.991902834008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.691358024691,0,0,0,0,0
"RGI|gb|NC_002695.2|-|1737690-1738104|ARO:3000676","Multi-drug resistance","MDR regulator","HNS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.641975308642,0,0,0,0,0
"RGI|gb|NC_002695|+|3211891-3212506|ARO:3000832","Multi-drug resistance","MDR regulator","EVGA",0,0,0,0,0,93.1174089068826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.641975308642,0,0,0,0,0
"RGI|gb|NC_007779|+|1621287-1621671|ARO:3000263","Multi-drug resistance","MDR regulator","MARA",0,0,0,0,0,36.4372469635628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.9012345679012,0,0,0,0,0
"RGI|gb|NC_007779|+|2166412-2167135|ARO:3000828","Multi-drug resistance","MDR regulator","BAER",0,0,0,0,0,133.603238866397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.320987654321,0,0,0,0,0
"RGI|gb|NC_007779|+|2586250-2589364|ARO:3000491","Aminoglycosides","Aminoglycoside efflux pumps","ACRD",0,0,0,0,0,344.129554655871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.20987654321,0,0,0,0,0
"RGI|gb|NC_007779|+|3974604-3975429|ARO:3000508","Multi-drug resistance","MDR regulator","GADX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.037037037037,0,0,0,0,0
"RGI|gb|U00096.3|-|4567286-4568519|ARO:3001214","Multi-drug resistance","Multi-drug efflux pumps","MDTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.098765432099,0,0,0,0,0
